1. Which is your primary browser for development,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,3. How old are the apps you frequently work on?,3. How old are the apps you frequently work on?,3. How old are the apps you frequently work on?,3. How old are the apps you frequently work on?,4. What is your typical Internet connection speed?,5. Web innovation is outpacing native,6. I am satisfied with the state of browser tooling for web dev,7. Building for the web is becoming easier over time,8. I feel safe while browsing the web,9. I am satisfied with browser standards adoption,10. The web is improving for end-users,11. I am satisfied with the communication between the software side and the business side of my organization,12. I am satisfied with the communication between the design side and the engineering side of my organization,13. I am satisfied with the state of analytics tooling for the web,14. I am satisfied with the state of a/b test tooling for the web,15. I am satisfied with the current user interface design trends for the web,16. I am familiar with the laws associated with GDPR,17. The desktop web is typically slow and sluggish,18. Accessibility is an important concern in my web development,19. The mobile web is typically slow and sluggish,20. I dislike ads on the web,21. I am optimistic about the future of progressive web apps,22. Artificial intelligence advancements are having a big impact on the web,23. I am satisfied with the development libraries my team and I use,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,"26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?",27. How does your team/project do a/b testing in your projects?,28. Which desktop operating system do you use for development?,28. Which desktop operating system do you use for development?,28. Which desktop operating system do you use for development?,28. Which desktop operating system do you use for development?,29. Does your team/project support IE 10 and under?,30. Should browsers still allow users to disable JavaScript?,31. Do the apps/sites you work on typically import custom fonts?,32. Does your team create design mockups before coding?,"33. Does your team use a package manager such as npm, yarn, bower, etc.?",34. Do your projects currently serve WebP-formatted images to supporting browsers?,35. Does your team write code tests for front-end code?,36. Does your team write code tests for back-end code?,37. Do you typically practice test-driven-development?,38. What is your age?,39. How long have you been working in software (in years),40. Which mobile device ecosystem you use for personal use?,41. What is your gender identity?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,43. Are you a...
Chrome,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,3-8 years,(blank),Over 15mbps,,9,7,9,10,10,,8,8,8,8,9,7,10,10,10,10,8,7,Front-end web development,(blank),(blank),(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,1,1,1,1,0,0,,0,35 - 39,10,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Cat person
Chrome,HTTP2,Service Workers,(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,10,6,5,10,0,10,5,7,10,10,10,10,10,5,10,10,,,,Front-end web development,Back-end web development,(blank),Product manager for web team,(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),React,(blank),(blank),Vue,(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),(blank),Linux,,0,0,1,1,1,0,1,1,0,≤ 17,3,,,(blank),(blank),(blank),(blank),None of the above,Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),5mbps to 10mbps,6,3,10,3,4,5,6,4,3,6,7,2,2,7,3,3,6,8,6,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),(blank),(blank),(blank),None of the above,(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,1,0,1,0,0,0,0,0,0,35 - 39,5,,,(blank),(blank),(blank),(blank),None of the above,Neither
Chrome,(blank),(blank),(blank),(blank),(blank),(blank),1-3 years,(blank),(blank),500kbps to 2mbps,5,4,7,5,5,7,7,4,6,,6,8,3,7,5,8,8,3,,Front-end web development,Back-end web development,Web design,Product manager for web team,Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),Custom built solution,MacOS,(blank),(blank),,0,0,1,1,1,0,0,1,0,40 - 49,18,,,(blank),(blank),(blank),(blank),None of the above,Dog person
Firefox,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),2mbps to 5mbps,6,7,7,7,7,7,,,,,,0,8,1,10,8,,,8,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,1,0,1,0,0,1,0,18 - 24,5,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),Service Workers,(blank),Content Distribution Network (CDN),Accelerated Mobile Pages (AMP),Less than 1 year,1-3 years,(blank),(blank),Over 15mbps,5,10,5,0,10,3,0,5,5,5,5,10,0,10,5,10,10,5,7,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),I use frameworks but none of these,(blank),I don't write front-end JavaScript,flexbox,(blank),preprocessors,(blank),(blank),Third party product/service,MacOS,(blank),(blank),,0,0,1,1,1,0,1,1,1,30 - 34,12,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Cat person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),I don't know,5,7,7,2,2,2,5,5,5,2,5,9,2,2,2,9,5,9,5,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,0,1,1,1,0,0,0,0,40 - 49,2,,,A computer science degree,(blank),An intensive online learning program,(blank),(blank),Cat person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,5,7,7,7,6,7,,,,,,,,,,,,,,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),,MacOS,(blank),(blank),,,1,1,,1,,,,,40 - 49,1,,,(blank),An in-person bootcamp/coding school graduation,(blank),A self-paced online learning program,(blank),
Chrome,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,(blank),(blank),Over 15mbps,8,2,3,1,8,8,7,7,1,1,3,4,6,2,9,10,5,9,8,(blank),Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't write front-end JavaScript,(blank),(blank),(blank),(blank),I don't work with CSS,,MacOS,Windows,Linux,,0,1,1,1,1,0,0,,0,18 - 24,2,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Cat person
Firefox,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,3-8 years,(blank),Over 15mbps,7,6,8,5,9,1,2,7,1,0,1,3,9,9,10,10,3,7,2,(blank),Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),Vue,(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),My team doesn't practice a/b testing,MacOS,Windows,Linux,,0,1,1,1,1,0,0,1,1,25 - 29,15,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Firefox,(blank),Service Workers,Browser Push Notifications,Content Distribution Network (CDN),Accelerated Mobile Pages (AMP),(blank),1-3 years,3-8 years,(blank),Over 15mbps,7,10,2,9,10,10,5,8,5,5,7,0,0,10,5,10,10,5,10,Front-end web development,Back-end web development,(blank),Product manager for web team,Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),React,(blank),(blank),Vue,(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),(blank),Linux,,0,1,1,1,1,0,0,0,0,25 - 29,10,,,(blank),(blank),(blank),(blank),None of the above,Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,5,5,8,4,5,5,1,2,5,5,5,6,3,3,3,10,9,10,3,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),(blank),(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,1,1,1,1,0,0,0,0,0,25 - 29,0,,,(blank),An in-person bootcamp/coding school graduation,An intensive online learning program,(blank),(blank),Dog person
Chrome,(blank),Service Workers,(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),2mbps to 5mbps,8,8,8,8,6,8,8,8,5,5,4,5,2,3,4,8,8,3,4,Front-end web development,(blank),Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),(blank),grid,(blank),None of the above,(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,1,1,1,0,0,0,1,≤ 17,3,,,(blank),(blank),(blank),(blank),None of the above,Dog person
Chrome,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),More than 8 years,10mbps to 15mbps,6,8,5,8,5,6,6,4,5,5,5,0,3,5,4,5,5,3,5,(blank),Back-end web development,(blank),(blank),(blank),(blank),I am a developer but not for web,(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't work with CSS,My team doesn't practice a/b testing,(blank),Windows,(blank),,1,1,0,0,1,0,0,0,0,18 - 24,6,,,A computer science degree,(blank),(blank),(blank),(blank),Cat person
Chrome,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),Over 15mbps,6,8,8,4,8,8,9,7,5,6,8,10,7,8,2,10,7,4,8,Front-end web development,Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,1,1,1,1,0,1,1,1,30 - 34,11,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,HTTP2,Service Workers,(blank),Content Distribution Network (CDN),Accelerated Mobile Pages (AMP),(blank),1-3 years,(blank),(blank),Over 15mbps,8,7,6,8,6,7,8,8,6,7,7,7,5,7,6,10,8,7,7,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),Vue,(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),Custom built solution,MacOS,Windows,Linux,,0,1,0,1,1,0,1,1,1,40 - 49,20,,,(blank),(blank),(blank),(blank),None of the above,Neither
Chrome,(blank),(blank),(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,4,7,8,8,2,8,7,6,5,5,6,6,4,1,2,8,8,4,7,Front-end web development,Back-end web development,Web design,(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),Vue,(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,0,0,0,0,0,0,0,35 - 39,17,,,A computer science degree,An in-person bootcamp/coding school graduation,(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),Service Workers,Browser Push Notifications,Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),2mbps to 5mbps,6,5,6,4,4,6,5,3,4,3,3,4,7,6,9,10,10,7,7,Front-end web development,Back-end web development,Web design,(blank),Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),React,(blank),(blank),Vue,(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),Third party product/service,MacOS,(blank),(blank),,0,1,1,1,1,0,0,1,0,25 - 29,4,,,(blank),(blank),(blank),(blank),None of the above,Neither
Chrome,(blank),Service Workers,(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,8,6,4,5,4,7,5,5,5,6,8,8,6,9,4,3,9,6,7,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),Open source library/framework,(blank),Windows,Linux,,0,0,0,1,1,0,0,0,0,,,,,(blank),(blank),(blank),(blank),(blank),Cat person
Chrome,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,3-8 years,More than 8 years,Over 15mbps,10,6,9,10,5,8,4,8,9,9,10,7,5,10,8,10,9,7,8,Front-end web development,Back-end web development,Web design,Product manager for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),(blank),(blank),(blank),None of the above,(blank),Custom built solution,(blank),(blank),(blank),FreeBSD,0,0,1,0,1,0,0,1,0,25 - 29,6,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),Browser Push Notifications,Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,6,7,8,7,7,8,5,6,6,5,7,7,4,9,5,8,8,6,8,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,Angular,(blank),Vue,(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),Custom built solution,(blank),Windows,Linux,,1,1,1,1,1,1,1,1,1,30 - 34,1,,,A computer science degree,(blank),(blank),(blank),(blank),Cat person
Firefox,(blank),(blank),(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),2mbps to 5mbps,8,6,6,5,6,4,4,6,,,6,0,7,8,7,10,8,10,6,(blank),Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't write front-end JavaScript,(blank),(blank),(blank),(blank),I don't work with CSS,My team doesn't practice a/b testing,(blank),Windows,Linux,,0,1,0,0,1,0,0,1,0,25 - 29,4,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),More than 8 years,Over 15mbps,5,5,5,7,7,6,2,1,5,3,2,1,5,10,5,10,5,7,5,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),I am a developer but not for web,(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),None of the above,(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,1,0,0,1,0,0,1,0,40 - 49,20,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Cat person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),3-8 years,(blank),Over 15mbps,8,8,10,2,6,8,3,3,5,5,6,7,2,6,5,10,5,7,8,Front-end web development,Back-end web development,(blank),(blank),Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),React,Angular,(blank),(blank),(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,1,1,1,0,0,0,0,30 - 34,14,,,(blank),(blank),(blank),(blank),None of the above,Cat person
Firefox,(blank),(blank),(blank),(blank),(blank),Less than 1 year,1-3 years,(blank),(blank),10mbps to 15mbps,5,6,9,3,5,8,2,5,,,7,2,7,3,8,8,8,,3,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),I am a developer but not for web,(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),(blank),(blank),(blank),None of the above,(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,1,1,0,1,1,0,0,1,0,25 - 29,5,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Cat person
Chrome,(blank),(blank),(blank),(blank),(blank),(blank),1-3 years,(blank),(blank),I don't know,10,10,10,10,7,10,5,8,5,5,10,0,0,0,8,6,10,8,10,Front-end web development,(blank),(blank),(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,Windows,(blank),,0,1,0,1,1,0,1,1,0,35 - 39,3,,,(blank),An in-person bootcamp/coding school graduation,(blank),(blank),(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),5mbps to 10mbps,7,8,8,4,7,7,4,7,7,7,9,7,5,7,6,9,7,4,8,Front-end web development,(blank),Web design,Product manager for web team,(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),flexbox,(blank),preprocessors,(blank),(blank),Custom built solution,MacOS,(blank),(blank),,0,0,1,1,1,0,1,1,0,35 - 39,15,,,(blank),(blank),(blank),(blank),None of the above,Cat person
Chrome,(blank),(blank),Browser Push Notifications,(blank),(blank),Less than 1 year,(blank),(blank),(blank),2mbps to 5mbps,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),Custom built solution,MacOS,(blank),(blank),,0,0,0,0,0,,0,0,0,30 - 34,10,,,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Firefox,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),(blank),(blank),(blank),More than 8 years,5mbps to 10mbps,7,5,1,0,4,0,,,8,10,6,6,2,8,3,10,1,0,,Front-end web development,Back-end web development,Web design,Product manager for web team,Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),flexbox,grid,(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,1,1,1,1,0,0,0,0,40 - 49,20,,,(blank),(blank),(blank),(blank),None of the above,Dog person
Firefox,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),I don't know,8,7,10,3,6,4,5,3,3,2,7,5,5,7,6,10,9,8,5,Front-end web development,Back-end web development,(blank),(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),,(blank),(blank),Linux,,,1,,,,,,,,18 - 24,4,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Cat person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,(blank),(blank),2mbps to 5mbps,,8,6,0,6,7,3,4,5,,8,0,2,9,2,2,9,10,9,Front-end web development,Back-end web development,Web design,Product manager for web team,Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),(blank),grid,preprocessors,(blank),(blank),Open source library/framework,MacOS,(blank),Linux,,0,0,1,0,1,0,0,0,1,18 - 24,5,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Firefox,HTTP2,Service Workers,Browser Push Notifications,Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),Over 15mbps,7,5,2,1,0,0,0,8,0,5,0,9,5,7,5,10,2,2,2,(blank),Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't write front-end JavaScript,(blank),(blank),(blank),(blank),I don't work with CSS,Custom built solution,MacOS,(blank),(blank),,1,1,1,1,1,1,1,1,0,25 - 29,7,,,(blank),An in-person bootcamp/coding school graduation,(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),5mbps to 10mbps,8,8,7,9,7,10,5,10,8,8,9,1,3,8,4,7,8,8,6,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),(blank),(blank),(blank),None of the above,(blank),Custom built solution,(blank),(blank),Linux,,1,0,0,1,1,1,0,0,0,18 - 24,2,,,(blank),An in-person bootcamp/coding school graduation,(blank),A self-paced online learning program,(blank),Dog person
Firefox,HTTP2,(blank),Browser Push Notifications,(blank),Accelerated Mobile Pages (AMP),(blank),1-3 years,(blank),(blank),Over 15mbps,7,6,10,1,6,5,7,7,10,4,8,10,2,5,0,3,10,10,9,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),Vue,(blank),(blank),(blank),(blank),grid,(blank),(blank),(blank),Custom built solution,(blank),Windows,Linux,,0,0,1,1,1,1,1,1,1,18 - 24,4,,,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),3-8 years,(blank),I don't know,7,8,8,8,8,8,3,3,5,5,7,8,3,4,4,6,9,6,8,Front-end web development,Back-end web development,(blank),(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,1,1,1,1,0,0,1,0,35 - 39,6,,,(blank),An in-person bootcamp/coding school graduation,(blank),(blank),(blank),Cat person
Chrome,(blank),(blank),(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,,10,10,10,10,5,1,1,,,10,2,2,3,8,3,8,5,,Front-end web development,Back-end web development,Web design,Product manager for web team,(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),Vue,(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),,(blank),(blank),Linux,,0,1,0,1,1,0,0,0,0,35 - 39,0,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Neither
Firefox,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),2mbps to 5mbps,8,6,7,6,6,6,7,6,7,7,7,6,6,8,7,9,8,6,8,Front-end web development,(blank),Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),(blank),grid,(blank),(blank),(blank),Custom built solution,(blank),Windows,Linux,,1,0,1,1,1,1,1,1,1,18 - 24,1,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Cat person
Chrome,HTTP2,Service Workers,Browser Push Notifications,(blank),Accelerated Mobile Pages (AMP),(blank),1-3 years,(blank),More than 8 years,I don't know,10,8,6,4,4,8,0,0,5,3,5,0,8,3,10,10,10,0,3,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),I am a developer but not for web,(blank),(blank),(blank),React,Angular,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't work with CSS,My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,1,0,1,0,0,0,0,50 - 64,15,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,5,3,3,5,3,7,6,6,4,3,4,2,4,0,7,8,8,3,6,Front-end web development,Back-end web development,Web design,Product manager for web team,(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),Vue,(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,1,0,1,0,0,0,0,0,,5,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),2mbps to 5mbps,8,5,3,3,7,8,6,7,7,6,3,4,5,5,5,10,7,6,5,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),,MacOS,Windows,Linux,,0,0,1,1,1,0,0,1,1,35 - 39,13,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Neither
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),2mbps to 5mbps,7,10,5,3,6,7,8,5,6,5,7,6,4,7,2,10,10,9,8,Front-end web development,Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),(blank),grid,(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,Linux,,0,0,1,1,0,0,0,1,1,18 - 24,2,,,(blank),(blank),An intensive online learning program,A self-paced online learning program,(blank),Cat person
Chrome,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),5mbps to 10mbps,7,2,0,7,5,0,8,10,5,5,3,7,10,10,10,8,6,4,3,Front-end web development,Back-end web development,(blank),(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,1,1,1,1,0,1,1,1,30 - 34,1,,cis-ish,(blank),(blank),(blank),(blank),None of the above,Dog person
Chrome,HTTP2,Service Workers,(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,(blank),(blank),500kbps to 2mbps,10,10,9,7,9,9,9,9,9,9,9,5,3,8,2,8,9,10,10,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Vue,(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),Open source library/framework,(blank),Windows,Linux,,0,0,1,1,1,0,1,1,1,18 - 24,2,,,(blank),(blank),(blank),(blank),None of the above,Neither
Chrome,HTTP2,(blank),(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,7,7,10,10,8,10,5,5,7,5,10,10,7,3,9,10,10,10,7,Front-end web development,(blank),Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,Linux,,0,0,1,0,1,0,0,0,0,30 - 34,0,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
